17158579,787425,43420,125882,,,
1014651,127794,1688,13030,,,
3191434,146035,5339,8181,,,
2095828,132239,1989,17518,,,
33523622,1634130,21082,85067,,,
1309699,103755,4613,12143,,,
2987945,187464,9850,26629,,,
748374,57534,2967,15959,,,
4477587,292837,4123,36391,,,
505161,4135,976,1484,,,
5068229,263596,8585,28976,,,
3153224,28451,2285,3312,,,
158815,218,30,186,,,
5718766,127477,7134,8063,,,
960747,31810,668,5335,,,
1531218,53961,1697,4277,,,
557883,44558,621,9619,,,
1496225,16116,236,605,,,
308568,19541,70,495,,,
1096327,33966,798,882,,,
817732,23663,778,3432,,,
343168,10172,666,2146,,,
3905245,53072,2437,1979,,,
4204818,187890,167908,77348,,,
549374,16832,248,3579,,,
348841,27089,162,2099,,,
370827,12150,325,2352,,,
653398,27773,2778,3976,,,
92280,11045,182,1412,,,
178447,4339,96,876,,,
585425,36207,1288,3002,,,
116676,4324,136,618,,,
3597410,128127,1756,10370,,,
925222,85016,550,4303,,,
123778,82,20,64,,,
200264,2947,317,2321,,,
191353,3307,85,534,,,
721066,30576,1251,6114,,,
182330,14901,55,1442,,,
524623,34460,237,2490,,,
2340941,200598,6018,7575,,,
36311,277,28,13,,,
3684,4,5,1,,,
286231,2530,1127,3239,,,
1637172,100779,989,18966,,,
458964,4903,392,1289,,,
172720,10736,236,3813,,,
28992,1409,9,188,,,
3641421,218587,5809,12649,,,
10588371,132738,8812,10847,,,
268111,447,100,240,,,
141253,14354,202,417,,,
234983,2358,125,344,,,
207532,7473,246,2120,,,
628340,37121,2100,1667,,,
9548677,190085,15015,11473,,,
900014,3273,1189,721,,,
25863,32,3,13,,,
106029,1270,101,181,,,
11636,1375,20,281,,,
9368,75,15,28,,,
1064943,38449,466,2335,,,
788935,15535,2557,2848,,,
731639,13794,512,376,,,
146900,1377,52,128,,,
137210,381,105,156,,,
325851,8998,185,1272,,,
25887,0,0,6,,,
274190,6303,266,368,,,
29234,37,65,62,,,
13433,74,57,0,,,
1846670,26611,1282,1221,,,
116344,5068,106,1341,,,
56077,1713,45,127,,,
5029621,39098,989,1596,,,
210478,905,176,85,,,
256426,12656,1363,2368,,,
33167,304,11,71,,,
320964,8069,285,717,,,
187075,2443,185,324,,,
341389,44134,1045,5485,,,
281350,17626,230,3352,,,
261603,4276,2148,0,,,
1300826,3333,490,494,,,
439507,2557,133,1294,,,
738561,2519,224,1014,,,
116820,1503,139,1066,,,
1788176,178236,3054,46254,,,
56407,734,136,10,,,
378352,16566,188,2803,,,
5541767,263919,1502,10706,,,
319817,1796,562,1065,,,
469779,2560,214,2084,,,
961644,62033,1132,3842,,,
786155,37126,895,6091,,,
150974,220,65,201,,,
70448,1538,25,315,,,
135620,379,86,449,,,
88061,47,58,17,,,
432721,14053,576,1161,,,
193241,18731,598,2627,,,
19859,1070,14,132,,,
28808,597,31,144,,,
2736733,58967,3492,7915,,,
119180,9763,512,1434,,,
166818,465,42,60,,,
415387,1010,90,655,,,
203332,3391,139,1034,,,
102766,294,39,39,,,
756959,9976,262,645,,,
70463,5992,44,402,,,
374640,17351,431,3595,,,
197183,1077,90,405,,,
19646,159,14,53,,,
264577,487,5,48,,,
20163,44,34,8,,,
320294,600,254,370,,,
33032,2143,333,323,,,
873333,22248,753,2550,,,
100666,3573,121,258,,,
78178,65,64,24,,,
2682879,48408,2267,2341,,,
2642930,115795,3055,6410,,,
260199,4833,302,860,,,
1504950,108635,1562,2913,,,
140099,6140,130,428,,,
282743,23037,338,1738,,,
152118,9642,129,6095,,,
72253,1217,146,569,,,
100394,1619,907,1595,,,
30001,221,7,101,,,
62915,1007,21,55,,,
351181,2206,453,540,,,
387221,2159,1214,711,,,
141148,1661,70,236,,,
164110,725,133,322,,,
43665,644,25,129,,,
399208,3023,116,590,,,
231745,10958,215,1433,,,
87890,577,48,149,,,
223871,8422,191,1214,,,
341134,18017,439,6073,,,
1107916,1807,269,1545,,,
170707,1152,178,166,,,
946859,37986,816,2006,,,
275669,13106,317,1197,,,
650469,17003,185,1102,,,
482153,76203,477,9580,,,
211868,5610,853,912,,,
496192,1503,443,1020,,,
375652,23771,207,1777,,,
35401,1309,27,39,,,
190106,6646,510,756,,,
183670,10020,355,590,,,
265303,1475,110,273,,,
219605,24237,187,2941,,,
2742984,70743,7557,8752,,,
93198,607,46,206,,,
721270,25232,1401,1750,,,
778516,32322,382,16710,,,
117022,466,135,24,,,
16921,187,0,5,,,
